reporting_as_of,ACQUIRED_LAPSED_SHOPPER,ACQUIRED_NON-SHOPPER,RETAINED_ACTIVE_SHOPPER_TRANSACTED,ACQUIRED_LAPSED_SHOPPER_incremental,ACQUIRED_NON-SHOPPER_incremental,RETAINED_ACTIVE_SHOPPER_TRANSACTED_incremental,total_incremental,total_cumulative
2025-06-14,960.0,1166.0,58568.0,960.0,1166.0,58568.0,60694.0,60694.0
2025-06-21,2020.0,2495.0,101636.0,1060.0,1329.0,43068.0,45457.0,106151.0
2025-06-28,3095.0,3938.0,136882.0,1075.0,1443.0,35246.0,37764.0,143915.0
2025-07-05,4078.0,5159.0,165523.0,983.0,1221.0,28641.0,30845.0,174760.0
2025-07-12,4989.0,6519.0,191109.0,911.0,1360.0,25586.0,27857.0,202617.0
2025-07-19,5911.0,7748.0,213786.0,922.0,1229.0,22677.0,24828.0,227445.0
2025-07-26,6876.0,9030.0,234693.0,965.0,1282.0,20907.0,23154.0,250599.0
2025-08-02,7877.0,10486.0,259020.0,1001.0,1456.0,24327.0,26784.0,277383.0
2025-08-09,8713.0,11676.0,276152.0,836.0,1190.0,17132.0,19158.0,296541.0
2025-08-16,9591.0,12862.0,292247.0,878.0,1186.0,16095.0,18159.0,314700.0
2025-08-23,10480.0,14192.0,307655.0,889.0,1330.0,15408.0,17627.0,332327.0
2025-08-30,11465.0,15582.0,322939.0,985.0,1390.0,15284.0,17659.0,349986.0
2025-09-06,12631.0,17237.0,338637.0,1166.0,1655.0,15698.0,18519.0,368505.0
