reporting_as_of,customer_movement_category,ct,ct_w_positive_sales_amt,sales_amt_total,joann_dept_sales_amt_total,sales_amt_avg
6/14/2025,ACQUIRED: LAPSED SHOPPER,960,953,42739.8822,10935.4922,44.52071062
6/14/2025,ACQUIRED: NON-SHOPPER,1166,1138,57290.1949,22561.1874,49.13395789
6/14/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),58568,56521,2349354.896,365381.8443,40.11328534
6/14/2025,UNMOVED,1250400,0,,,
6/21/2025,ACQUIRED: LAPSED SHOPPER,2020,2004,93134.3771,26711.9572,46.10612728
6/21/2025,ACQUIRED: NON-SHOPPER,2495,2454,130768.457,51435.3163,52.41220721
6/21/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),101636,98806,4542552.595,768279.356,44.69432676
6/21/2025,UNMOVED,1204943,0,,,
6/28/2025,ACQUIRED: LAPSED SHOPPER,3095,3070,142173.7767,43580.7352,45.9365999
6/28/2025,ACQUIRED: NON-SHOPPER,3938,3881,203742.2445,83001.0688,51.73749225
6/28/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),136882,133653,6701864.359,1181946.974,48.96088864
6/28/2025,UNMOVED,1167179,0,,,
7/5/2025,ACQUIRED: LAPSED SHOPPER,4078,4046,192047.7552,58997.3187,47.09361334
7/5/2025,ACQUIRED: NON-SHOPPER,5159,5096,270952.1987,107582.6096,52.52029438
7/5/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),165523,162226,8829827.641,1558837.825,53.34501937
7/5/2025,UNMOVED,1136334,0,,,
7/12/2025,ACQUIRED: LAPSED SHOPPER,4989,4951,238618.858,73441.6675,47.82899539
7/12/2025,ACQUIRED: NON-SHOPPER,6519,6447,351305.7109,137732.2056,53.88950927
7/12/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),191109,187883,11123909.13,1973988.226,58.20714424
7/12/2025,UNMOVED,1108477,0,,,
7/19/2025,ACQUIRED: LAPSED SHOPPER,5911,5866,285458.6479,88550.8438,48.29278428
7/19/2025,ACQUIRED: NON-SHOPPER,7748,7669,429947.2797,168810.2961,55.49138871
7/19/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),213786,210594,13356323.9,2362000.804,62.47520372
7/19/2025,UNMOVED,1083649,0,,,
7/26/2025,ACQUIRED: LAPSED SHOPPER,6876,6821,343400.3149,106779.6681,49.94187244
7/26/2025,ACQUIRED: NON-SHOPPER,9030,8938,517098.4323,202470.7057,57.2644997
7/26/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),234693,231519,15614046.71,2759981.813,66.5296652
7/26/2025,UNMOVED,1060495,0,,,
8/2/2025,ACQUIRED: LAPSED SHOPPER,7877,7811,398889.1849,123339.0013,50.63973402
8/2/2025,ACQUIRED: NON-SHOPPER,10486,10378,603484.3473,233678.214,57.55143499
8/2/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),259020,255426,18180476.67,3207841.769,70.18947059
8/2/2025,UNMOVED,1033711,0,,,
8/9/2025,ACQUIRED: LAPSED SHOPPER,8713,8641,451968.9655,139383.3973,51.87294451
8/9/2025,ACQUIRED: NON-SHOPPER,11676,11561,692810.334,265267.3941,59.3362739
8/9/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),276152,272658,20539093.36,3605626.698,74.37604419
8/9/2025,UNMOVED,1014553,0,,,
8/16/2025,ACQUIRED: LAPSED SHOPPER,9591,9515,511397.9355,156726.6472,53.32060635
8/16/2025,ACQUIRED: NON-SHOPPER,12862,12745,786319.3119,301391.794,61.13507323
8/16/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),292247,288882,22986132.93,4022081.787,78.65310141
8/16/2025,UNMOVED,996394,0,,,
8/23/2025,ACQUIRED: LAPSED SHOPPER,10480,10396,575993.8249,175652.4675,54.96124283
8/23/2025,ACQUIRED: NON-SHOPPER,14192,14065,885795.2844,337948.3057,62.41511305
8/23/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),307655,304338,25488593.8,4459479.051,82.84797517
8/23/2025,UNMOVED,978767,0,,,
8/30/2025,ACQUIRED: LAPSED SHOPPER,11465,11375,646603.6278,197815.8335,56.39804865
8/30/2025,ACQUIRED: NON-SHOPPER,15582,15445,993590.0636,381743.596,63.76524603
8/30/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),322939,319707,28216085.97,4968034.946,87.37280406
8/30/2025,UNMOVED,961108,0,,,
9/6/2025,ACQUIRED: LAPSED SHOPPER,12631,12533,727714.4767,223292.6877,57.61337002
9/6/2025,ACQUIRED: NON-SHOPPER,17237,17092,1126037.828,437140.5201,65.32678703
9/6/2025,RETAINED: ACTIVE SHOPPER (TRANSACTED),338637,335562,31245121.2,5578298.534,92.26729861
9/6/2025,UNMOVED,942589,0,,,
